timestamp,open,high,low,close,volume,oi
2020-10-01 00:00:00+05:30,125.4,132.95,125.05,131.75,31031590,0
2020-10-05 00:00:00+05:30,132.4,135.2,129.65,131.0,14427100,0
2020-10-06 00:00:00+05:30,132.4,133.0,129.2,130.9,12242875,0
2020-10-07 00:00:00+05:30,130.6,130.7,125.25,126.75,17277620,0
2020-10-08 00:00:00+05:30,128.0,130.65,126.6,127.8,16935265,0
2020-10-09 00:00:00+05:30,126.7,130.0,126.05,128.2,17527455,0
2020-10-12 00:00:00+05:30,129.0,133.35,128.35,132.35,30896765,0
2020-10-13 00:00:00+05:30,132.6,133.55,129.65,130.35,14237305,0
2020-10-14 00:00:00+05:30,129.8,134.4,127.95,133.05,16828720,0
2020-10-15 00:00:00+05:30,134.0,134.8,125.65,126.45,15350730,0
2020-10-16 00:00:00+05:30,127.4,129.8,125.3,129.4,13772855,0
2020-10-19 00:00:00+05:30,129.45,133.0,128.85,131.55,12763050,0
2020-10-20 00:00:00+05:30,130.8,132.35,129.4,131.75,8549525,0
2020-10-21 00:00:00+05:30,132.6,136.6,129.5,133.2,31741005,0
2020-10-22 00:00:00+05:30,132.95,140.75,131.25,140.0,28176185,0
2020-10-23 00:00:00+05:30,140.85,143.6,139.85,142.0,21913825,0
2020-10-26 00:00:00+05:30,141.4,141.6,137.3,138.0,10113505,0
2020-10-27 00:00:00+05:30,138.0,149.75,136.65,147.45,40165905,0
2020-10-28 00:00:00+05:30,145.8,146.0,141.4,142.45,17774920,0
2020-10-29 00:00:00+05:30,140.0,141.15,136.45,139.8,14687575,0
2020-10-30 00:00:00+05:30,141.4,146.0,134.0,138.7,42892615,0
2020-11-02 00:00:00+05:30,138.8,153.15,138.8,150.8,58773715,0
2020-11-03 00:00:00+05:30,150.8,154.55,150.0,152.55,16268300,0
2020-11-04 00:00:00+05:30,152.2,158.6,150.4,157.8,22749125,0
2020-11-05 00:00:00+05:30,158.65,165.0,155.9,163.1,26335845,0
2020-11-06 00:00:00+05:30,163.2,172.4,160.6,169.3,34200000,0
2020-11-09 00:00:00+05:30,169.6,171.75,165.2,167.05,24006055,0
2020-11-10 00:00:00+05:30,168.0,174.55,166.2,171.55,23825835,0
2020-11-11 00:00:00+05:30,171.55,178.1,169.4,176.65,31631290,0
2020-11-12 00:00:00+05:30,175.4,175.55,167.65,172.25,20465145,0
2020-11-13 00:00:00+05:30,170.8,176.0,169.5,175.2,18289185,0
2020-11-14 00:00:00+05:30,176.4,176.85,172.4,174.45,1279465,0
2020-11-17 00:00:00+05:30,174.65,175.95,171.4,172.2,15728460,0
2020-11-18 00:00:00+05:30,171.4,186.2,169.75,185.05,35810375,0
2020-11-19 00:00:00+05:30,183.45,199.7,180.25,182.35,63358800,0
2020-11-20 00:00:00+05:30,183.6,190.0,180.85,186.8,43910455,0
2020-11-23 00:00:00+05:30,188.5,195.9,188.2,194.95,33172945,0
2020-11-24 00:00:00+05:30,196.55,207.9,194.8,205.85,39408005,0
2020-11-25 00:00:00+05:30,206.95,217.5,206.6,213.0,43692190,0
2020-11-26 00:00:00+05:30,211.85,212.0,204.5,210.35,25519515,0
2020-11-27 00:00:00+05:30,212.0,218.4,210.8,214.05,67609335,0
2020-12-01 00:00:00+05:30,216.0,216.0,203.75,204.7,19857690,0
2020-12-02 00:00:00+05:30,206.75,209.0,204.0,206.1,18406465,0
2020-12-03 00:00:00+05:30,208.0,211.8,205.65,206.75,16262005,0
2020-12-04 00:00:00+05:30,208.2,209.05,197.25,200.6,25299565,0
2020-12-07 00:00:00+05:30,202.2,217.4,202.0,212.7,34630940,0
2020-12-08 00:00:00+05:30,215.0,216.05,209.15,213.35,20765030,0
2020-12-09 00:00:00+05:30,214.4,215.65,209.8,212.45,12326970,0
2020-12-10 00:00:00+05:30,210.4,212.4,205.0,209.95,13328860,0
2020-12-11 00:00:00+05:30,212.0,215.0,207.0,208.65,17879175,0
2020-12-14 00:00:00+05:30,212.0,214.75,209.3,214.0,14980145,0
2020-12-15 00:00:00+05:30,214.4,220.35,210.7,218.5,18580105,0
2020-12-16 00:00:00+05:30,220.55,221.6,213.0,214.6,17984290,0
2020-12-17 00:00:00+05:30,214.4,215.2,210.3,211.3,10168720,0
2020-12-18 00:00:00+05:30,211.4,212.35,203.2,205.55,17274385,0
2020-12-21 00:00:00+05:30,206.0,206.2,188.9,193.35,18966675,0
2020-12-22 00:00:00+05:30,193.8,195.25,183.6,187.6,22851915,0
2020-12-23 00:00:00+05:30,187.55,194.0,185.4,192.35,22133360,0
